OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_CIV,POVScore,PHYSRatioScore,Shape__Area,Shape__Length
418,23,037,Los Angeles,77.1c,Lancaster Central/Palmdale North Central,Urban,1681.81069957,0.66148876,56573,1,8,48,2237.79166667,5,3,0.0163122234725961,0.717834992356545
419,6,037,Los Angeles,77.2,Lake Los Angeles,Rural,48.52525012,22.7501481,9420,1,10,0,0,5,5,0.0974782151549789,1.48400595820228
420,3,037,Los Angeles,77.3,Juniper Hills/Littlerock/Longview/Pearblossom/Valyermo,Rural,83.94672539,144.45097136,7128,1,8,0,0,3,5,0.0510992104757406,1.24307917721477
421,4,037,Los Angeles,77.4,Acton/Ravenna,Rural,50.89652041,31.86506764,8835,1,6,0,0,1,5,0.0570703401172068,1.77319072263918
422,7,037,Los Angeles,77.5,Elizabeth Lake/Gorman/Green Valley/Lake Hughes/Leona Valley/Neenach,Rural,61.13300111,82.41721283,19553,1,6,0.5,51816,1,5,0.105031264881063,2.65364003673026
423,2,037,Los Angeles,78.1,Avalon,Frontier,30.58377518,131.24837953,1295,1,7,0,0,2,5,0.0331645681546888,1.93258176843322
424,23,037,Los Angeles,78.2a,Echo Park/Hollywood North Central/Silverlake South,Urban,14031.79994162,0.22407487,55600,1,6,41,2037.82926829,3,3,0.00147569769615075,0.353729026758434
425,27,037,Los Angeles,78.2aa,Bel Air/Beverly Glen/Beverly Hills/Brentwood/Malibu/Pacific Palisades/Santa Monica Northwest/Topanga,Urban,765.7032141,6.21880354,93821,0,1,107,920.43925234,1,0,0.0332133803697161,1.69627541919528
426,25,037,Los Angeles,78.2aaaa,Harbor Gateway South/Lomita/Torrance East Central,Urban,6190.36224604,0.13029728,72080,0,2,512,223.65820313,2,0,0.00462218000529901,0.377261181444566
427,45,037,Los Angeles,78.2b,Pico-Union,Urban,31447.73191465,0.12932226,45938,1,7,77.5,1914.4516129,5,2,0.00122012874180655,0.206834665010811
428,27,037,Los Angeles,78.2bb,North Hollywood Central and North,Urban,13362.38851304,0.30181314,41168,1,9,24,4199.91666667,4,5,0.00193410356291679,0.238219277890467
429,20,037,Los Angeles,78.2bbb,Compton East,Urban,11713.26534838,0.53450373,23920,1,10,13,7075.07692308,5,5,0.00195747008183389,0.267018688204544
430,16,037,Los Angeles,78.2bbbb,Gardena West/Hawthorne,Urban,14230.26747907,0.2517209,41734,1,8,10,7767.8,3,5,0.00138514045215743,0.222551751581712
431,26,037,Los Angeles,78.2c,Bell Northeast/Bell Gardens/Commerce/Maywood/Montebello South,Urban,7644.8972859,0.39440702,7257,1,7,49,2397.18367347,4,3,0.00389510611171318,0.368524999150964
432,27,037,Los Angeles,78.2cc,Van Nuys Central,Urban,14729.60949823,0.26597548,46051,1,9,41,2569.07317073,5,4,0.00181577341481898,0.300889074285053
433,28,037,Los Angeles,78.2ccc,Huntington Park/South Gate West/Walnut Park,Urban,19976.48461068,0.1006866,2737,1,6,62,1689.82258065,4,2,0.0013189228882311,0.275016363554597
434,27,037,Los Angeles,78.2cccc,Chatsworth,Urban,4046.85611218,0.79761633,77952,1,7,32,3427.5625,2,5,0.0067834856574791,0.52189968712361
435,22,037,Los Angeles,78.2d,City Terrace East/East Los Angeles,Urban,16619.93469949,0.17271134,3145,1,6,81,1156.27160494,5,1,0.00146942588071397,0.21517475776668
436,25,037,Los Angeles,78.2dd,Burbank South/Eagle Rock/Glendale Northwest,Urban,4078.79120536,1.5975192,75853,0,3,73,1447.93150685,2,1,0.00655543834523087,0.683787225057816
437,21,037,Los Angeles,78.2ddd,Bell Southwest/Cudahy/Vernon,Urban,9081.14256189,4.99593221,3156,1,10,24,3447,5,5,0.0022893552388723,0.307870962508627
438,22,037,Los Angeles,78.2dddd,Arcadia Southeast/San Gabriel North,Urban,7456.98558504,0.5914365,79522,0,4,56,1884.64285714,2,2,0.00354363899577947,0.380164124465038
439,37,037,Los Angeles,78.2e,Country Club Park/Koreatown/Mid-City East,Urban,26481.79007697,0.26405531,76225,1,6,84,1592.52380952,4,2,0.00126692834828646,0.220853772002069
440,23,037,Los Angeles,78.2ee,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,Urban,6135.87098992,0.5192441,77132,0,2,171,569.47953216,2,0,0.00393170538950471,0.399612119250717
