,FIPS,County,State,Lat,Long,Ticks_With_Lyme,Cases2019
395,13017.0,Ben Hill County,Georgia,31.7598,-83.2205,0,0
396,13019.0,Berrien County,Georgia,31.276,-83.2296,0,0
397,13021.0,Bibb County,Georgia,32.8065,-83.6974,0,0
398,13023.0,Bleckley County,Georgia,32.4344,-83.3279,0,0
399,13025.0,Brantley County,Georgia,31.1969,-81.9819,0,0
400,13027.0,Brooks County,Georgia,30.842,-83.5802,0,0
401,13029.0,Bryan County,Georgia,32.0145,-81.4436,0,0
402,13031.0,Bulloch County,Georgia,32.3968,-81.7432,0,0
403,13033.0,Burke County,Georgia,33.0611,-82.0009,0,0
404,13035.0,Butts County,Georgia,33.2879,-83.9572,0,0
405,13037.0,Calhoun County,Georgia,31.5292,-84.6245,0,0
406,13039.0,Camden County,Georgia,30.9306,-81.67,0,1
407,13043.0,Candler County,Georgia,32.4034,-82.0737,0,0
408,13045.0,Carroll County,Georgia,33.5828,-85.0798,0,0
409,13047.0,Catoosa County,Georgia,34.9036,-85.1382,0,0
410,13049.0,Charlton County,Georgia,30.7817,-82.1379,0,0
411,13051.0,Chatham County,Georgia,32.0042,-81.1328,0,0
412,13053.0,Chattahoochee County,Georgia,32.347,-84.787,0,0
413,13055.0,Chattooga County,Georgia,34.475,-85.3453,0,0
414,13057.0,Cherokee County,Georgia,34.2439,-84.4762,0,1
415,13059.0,Clarke County,Georgia,33.9512,-83.3673,0,0
416,13061.0,Clay County,Georgia,31.6263,-84.9801,0,0
417,13063.0,Clayton County,Georgia,33.5419,-84.3576,0,0
418,13065.0,Clinch County,Georgia,30.915,-82.7063,0,0
419,13067.0,Cobb County,Georgia,33.9415,-84.5767,0,2
420,13069.0,Coffee County,Georgia,31.5493,-82.8492,0,0
