FIPS,State,County,Mean_Rank,Worst_Best,Rank
47009,Tennessee,Blount,18.125,Best,5
47027,Tennessee,Clay,79.625,Worst,6
47087,Tennessee,Jackson,80.875,Worst,7
47095,Tennessee,Lake,82.75,Worst,8
47061,Tennessee,Grundy,86,Worst,9
47097,Tennessee,Lauderdale,87.375,Worst,10
48065,Texas,Carson,17.625,Best,1
48205,Texas,Hartley,18.625,Best,2
48085,Texas,Collin,21.375,Best,3
48121,Texas,Denton,23.5,Best,4
48259,Texas,Kendall,25.5,Best,5
48419,Texas,Shelby,205.5,Worst,6
48291,Texas,Liberty,208.25,Worst,7
48407,Texas,San Jacinto,209.625,Worst,8
48405,Texas,San Augustine,218.625,Worst,9
48047,Texas,Brooks,220.125,Worst,10
49043,Utah,Summit,3.875,Best,1
49029,Utah,Morgan,4.5,Best,2
49011,Utah,Davis,5.75,Best,3
49049,Utah,Utah,6.5,Best,4
49005,Utah,Cache,7,Best,5
49013,Utah,Duchesne,22.375,Worst,6
49037,Utah,San Juan,26.25,Worst,7
49007,Utah,Carbon,21.125,Worst,8
49017,Utah,Garfield,20.25,Worst,9
49047,Utah,Uintah,22,Worst,10
50007,Vermont,Chittenden,1.625,Best,1
50001,Vermont,Addison,2.125,Best,2
50023,Vermont,Washington,3.75,Best,3
50013,Vermont,Grand Isle,5.25,Best,4
50015,Vermont,Lamoille,6,Best,5
50021,Vermont,Rutland,9.375,Worst,6
50005,Vermont,Caledonia,10.125,Worst,7
50003,Vermont,Bennington,10.375,Worst,8
50009,Vermont,Essex,11.75,Worst,9
50019,Vermont,Orleans,12.375,Worst,10
51059,Virginia,Fairfax,6.375,Best,1
51013,Virginia,Arlington,6.5,Best,2
51610,Virginia,Falls Church City,10.125,Best,3
51199,Virginia,York,10.375,Best,4
51003,Virginia,Albemarle,12.75,Best,5
51025,Virginia,Brunswick,121.75,Worst,6
51595,Virginia,Emporia City,123.75,Worst,7
51670,Virginia,Hopewell City,124.375,Worst,8
51027,Virginia,Buchanan,124.375,Worst,9
51730,Virginia,Petersburg City,128,Worst,10
53033,Washington,King,2.5,Best,1
53055,Washington,San Juan,3.625,Best,2
53035,Washington,Kitsap,6.75,Best,3
53061,Washington,Snohomish,7.5,Best,4
53029,Washington,Island,8.625,Best,5
53047,Washington,Okanogan,34,Worst,6
53019,Washington,Ferry,34.75,Worst,7
53051,Washington,Pend Oreille,31.625,Worst,8
53045,Washington,Mason,31,Worst,9
53077,Washington,Yakima,33,Worst,10
54061,West Virginia,Monongalia,4.75,Best,1
54079,West Virginia,Putnam,5.25,Best,2
54037,West Virginia,Jefferson,9.375,Best,3
54057,West Virginia,Mineral,9.875,Best,4
54069,West Virginia,Ohio,10.875,Best,5
54005,West Virginia,Boone,48.75,Worst,6
54045,West Virginia,Logan,49.25,Worst,7
54109,West Virginia,Wyoming,50.125,Worst,8
54059,West Virginia,Mingo,51.75,Worst,9
54047,West Virginia,McDowell,53.5,Worst,10
55089,Wisconsin,Ozaukee,9.75,Best,
55131,Wisconsin,Washington,11.25,Best,
55015,Wisconsin,Calumet,11.375,Best,
55133,Wisconsin,Waukesha,11.875,Best,
55109,Wisconsin,St. Croix,14.25,Best,
55079,Wisconsin,Milwaukee,67.625,Worst,
55078,Wisconsin,Menominee,64.875,Worst,
55001,Wisconsin,Adams,61.375,Worst,
55105,Wisconsin,Rock,61.25,Worst,
55059,Wisconsin,Kenosha,61.75,Worst,
56039,Wyoming,Teton,2.75,Best,
56011,Wyoming,Crook,4.375,Best,
56029,Wyoming,Park,6.125,Best,
56035,Wyoming,Sublette,6.75,Best,
56023,Wyoming,Lincoln,7.375,Best,
56007,Wyoming,Carbon,17.375,Worst,
56003,Wyoming,Big Horn,17.375,Worst,
56037,Wyoming,Sweetwater,18.25,Worst,
56041,Wyoming,Uinta,18.5,Worst,
56013,Wyoming,Fremont,22.25,Worst,
