FIPS,Lifespan_Rank,Life_Quality_Rank,Health_Behaviors_Rank,Clinical_Care_Rank,Social_Economic_Factors_Rank,Physical_Environment_Rank,Lyme_Disease_Incidence_Reported,Population,%<18_Yrs_Old,%65_Yrs_Old_and_over,Income($),African_American(Count),African_American(%),American_Indian/Alaskan_Native(Count),American_Indian/Alaskan_Native(%),Asian(Count),Asian(%),Native_Hawaiian/Other_Pacific_Islander(Count),Native_Hawaiian/Other_Pacific_Islander(%),Hispanic(Count),Hispanic(%),Non-Hispanic_White_(Count),Non-Hispanic_White(%),Female(%),Rural(Count),Rural(%),Life_Expectancy,Deaths(Count)
1027,17,21,16,51,34,63,0.0,13367.0,20.57,20.24,396.42,1849.0,13.83,77.0,0.58,33.0,0.25,0.0,0.0,417.0,3.12,10761.0,80.5,51.05,13932.0,100.0,75.39,271.0
1029,51,11,17,58,14,14,1.0,14900.0,22.95,19.11,454.8,459.0,3.08,69.0,0.46,30.0,0.2,11.0,0.07,361.0,2.42,13818.0,92.74,50.42,14972.0,100.0,73.63,334.0
1031,5,12,9,15,8,15,0.0,51874.0,23.72,16.57,519.98,8995.0,17.34,733.0,1.41,822.0,1.58,216.0,0.42,3684.0,7.1,36440.0,70.25,50.71,23573.0,47.2,77.2,743.0
1033,26,20,7,11,18,29,2.0,54500.0,21.01,19.6,461.0,8763.0,16.08,352.0,0.65,317.0,0.58,31.0,0.06,1390.0,2.55,42769.0,78.48,52.02,23891.0,43.89,74.85,1016.0
1035,30,65,59,66,59,42,0.0,12469.0,21.03,21.92,307.96,5758.0,46.18,59.0,0.47,26.0,0.21,4.0,0.03,249.0,2.0,6223.0,49.91,51.97,10708.0,80.95,75.03,272.0
1037,59,51,41,43,49,25,1.0,10754.0,16.4,22.76,424.42,3245.0,30.17,63.0,0.59,16.0,0.15,18.0,0.17,261.0,2.43,7073.0,65.77,49.8,11539.0,100.0,73.42,228.0
1039,44,38,37,48,20,13,0.0,37092.0,21.83,20.66,390.93,4606.0,12.42,247.0,0.67,181.0,0.49,4.0,0.01,613.0,1.65,30936.0,83.4,51.77,26304.0,69.65,74.22,754.0
1041,11,31,42,49,45,2,0.0,13871.0,23.08,18.72,384.19,3235.0,23.32,81.0,0.58,151.0,1.09,4.0,0.03,298.0,2.15,9872.0,71.17,51.58,13906.0,100.0,74.83,271.0
1043,23,15,26,29,11,51,1.0,82755.0,22.47,18.29,459.25,988.0,1.19,505.0,0.61,487.0,0.59,79.0,0.1,3586.0,4.33,76228.0,92.11,50.57,58889.0,73.24,74.68,1493.0
1045,15,17,19,24,22,21,0.0,49226.0,23.09,16.34,425.72,10025.0,20.37,426.0,0.87,670.0,1.36,102.0,0.21,3206.0,6.51,33778.0,68.62,50.7,25572.0,50.89,75.41,836.0
1047,62,61,61,20,63,55,1.0,39215.0,24.31,17.34,313.29,27486.0,70.09,108.0,0.28,202.0,0.52,17.0,0.04,424.0,1.08,10717.0,27.33,53.87,19999.0,45.64,71.72,893.0
1049,38,18,32,65,35,30,5.0,71617.0,24.5,16.83,399.06,1058.0,1.48,1445.0,2.02,325.0,0.45,462.0,0.65,10625.0,14.84,57439.0,80.2,50.28,64091.0,90.13,74.22,1313.0
